2021-12-27 13:28:20.074 [DEBU] [ 46 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00144号' WHERE presell_id=0
2021-12-27 13:28:20.176 [DEBU] [ 32 ms] [default] UPDATE `presell` SET `presell_name`='云售许字（2021）第ZJ00155号' WHERE presell_id=0
2021-12-27 13:28:20.181 [DEBU] [ 33 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2021）第ZJ00142号' WHERE presell_id=0
2021-12-27 13:28:20.421 [DEBU] [195 ms] [default] UPDATE `presell` SET `presell_name`='丽经开售许字（2021）第ZJ00153号' WHERE presell_id=0
2021-12-27 13:28:20.526 [DEBU] [283 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00154号' WHERE presell_id=0
2021-12-27 13:28:20.806 [DEBU] [186 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2021）第ZJ00141号' WHERE presell_id=0
2021-12-27 13:28:20.833 [DEBU] [116 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2021）第ZJ00152号' WHERE presell_id=0
2021-12-27 13:28:20.892 [DEBU] [ 43 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2021）第ZJ00140号' WHERE presell_id=0
2021-12-27 13:28:20.913 [DEBU] [ 43 ms] [default] UPDATE `presell` SET `presell_name`='庆售许字（2021）第ZJ00151号' WHERE presell_id=0
2021-12-27 13:28:20.957 [DEBU] [ 22 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2021）第ZJ00139号' WHERE presell_id=0
2021-12-27 13:28:20.979 [DEBU] [ 23 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2021）第ZJ00138号' WHERE presell_id=0
2021-12-27 13:28:21.050 [DEBU] [ 23 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00136号' WHERE presell_id=0
2021-12-27 13:28:21.066 [DEBU] [ 25 ms] [default] UPDATE `presell` SET `presell_name`='丽经开售许字（2021）第ZJ00135号' WHERE presell_id=0
2021-12-27 13:28:21.100 [DEBU] [ 19 ms] [default] UPDATE `presell` SET `presell_name`='莲售许字（2021）第ZJ00134号' WHERE presell_id=0
2021-12-27 13:28:21.127 [DEBU] [ 24 ms] [default] UPDATE `presell` SET `presell_name`='缙售许字（2021）第ZJ00133号' WHERE presell_id=0
2021-12-27 13:28:21.153 [DEBU] [ 16 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00132号' WHERE presell_id=0
2021-12-27 13:28:21.182 [DEBU] [ 21 ms] [default] UPDATE `presell` SET `presell_name`='景售许字（2021）第ZJ00131号' WHERE presell_id=0
2021-12-27 13:28:21.208 [DEBU] [ 18 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00130号' WHERE presell_id=0
2021-12-27 13:28:21.236 [DEBU] [ 26 ms] [default] UPDATE `presell` SET `presell_name`='松售许字（2021）第ZJ00128号' WHERE presell_id=0
2021-12-27 13:28:21.266 [DEBU] [ 16 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2021）第ZJ00126号' WHERE presell_id=0
2021-12-27 13:28:21.283 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00125号' WHERE presell_id=0
2021-12-27 13:28:21.303 [DEBU] [ 17 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00124号' WHERE presell_id=0
2021-12-27 13:28:21.344 [DEBU] [ 16 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00123号' WHERE presell_id=0
2021-12-27 13:28:21.346 [DEBU] [ 19 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2021）第ZJ00122号' WHERE presell_id=0
2021-12-27 13:28:21.417 [DEBU] [ 17 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00119号' WHERE presell_id=0
2021-12-27 13:28:21.422 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00120号' WHERE presell_id=0
2021-12-27 13:28:21.479 [DEBU] [ 16 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2021）第ZJ00117号' WHERE presell_id=0
2021-12-27 13:28:21.539 [DEBU] [ 22 ms] [default] UPDATE `presell` SET `presell_name`='丽经开售许字（2021）第ZJ00116号' WHERE presell_id=0
2021-12-27 13:28:21.560 [DEBU] [ 16 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00118号' WHERE presell_id=0
2021-12-27 13:28:21.595 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='松售许字（2021）第ZJ00095号' WHERE presell_id=0
2021-12-27 13:28:21.598 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00096号' WHERE presell_id=0
2021-12-27 13:28:21.629 [DEBU] [ 16 ms] [default] UPDATE `presell` SET `presell_name`='云售许字（2021）第ZJ00094号' WHERE presell_id=0
2021-12-27 13:28:21.666 [DEBU] [ 21 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00093号' WHERE presell_id=0
2021-12-27 13:28:21.674 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='庆售许字（2021）第ZJ00092号' WHERE presell_id=0
2021-12-27 13:28:21.719 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='丽经开售许字（2021）第ZJ00090号' WHERE presell_id=0
2021-12-27 13:28:21.719 [DEBU] [ 21 ms] [default] UPDATE `presell` SET `presell_name`='松售许字（2021）第ZJ00091号' WHERE presell_id=0
2021-12-27 13:28:21.778 [DEBU] [ 17 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00077号' WHERE presell_id=0
2021-12-27 13:28:21.803 [DEBU] [ 21 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00075号' WHERE presell_id=0
2021-12-27 13:28:21.855 [DEBU] [ 16 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00089号' WHERE presell_id=0
2021-12-27 13:28:21.885 [DEBU] [ 21 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00074号' WHERE presell_id=0
2021-12-27 13:28:21.909 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='丽经开售许字（2021）第ZJ00088号' WHERE presell_id=0
2021-12-27 13:28:21.931 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='莲售许字（2021）第ZJ00073号' WHERE presell_id=0
2021-12-27 13:28:21.956 [DEBU] [ 14 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00087号' WHERE presell_id=0
2021-12-27 13:28:22.002 [DEBU] [ 19 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00070号' WHERE presell_id=0
2021-12-27 13:28:22.006 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00072号' WHERE presell_id=0
2021-12-27 13:28:22.052 [DEBU] [ 21 ms] [default] UPDATE `presell` SET `presell_name`='松售许字（2021）第ZJ00069号' WHERE presell_id=0
2021-12-27 13:28:22.074 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='缙售许字（2021）第ZJ00086号' WHERE presell_id=0
2021-12-27 13:28:22.119 [DEBU] [ 21 ms] [default] UPDATE `presell` SET `presell_name`='缙售许字（2021）第ZJ00068号' WHERE presell_id=0
2021-12-27 13:28:22.135 [DEBU] [ 18 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00085号' WHERE presell_id=0
